title,price
"Avenida Del Libertador 15400, Piso 1",USD 210.000
Alsina 100,USD 128.000
Diego Palma al 300,USD 119.000
"Jacinto Diaz 400, Piso 3",USD 350.000
Albarellos 1000  E/ Jujuy y Urquiza,USD 260.000
Av. Forest al 1600,USD 450.000
"Garibaldi 500, Piso 1",USD 129.000
"Diego Palma 100, Piso 3",USD 105.000
Juan Clark al 1000,USD 280.000
Albarellos al 1000 entre Jujuy y Urquiza,USD 175.000
"Vicente López 100, Piso 9º",USD 287.000
Av Santa Fe  al 700 rotonda de Acassuso,USD 145.000
Venta Dto 4 amb Ayres Chico  Sta. Rita 2900,USD 360.000
Castelli al 1000,USD 260.000
Ituzaingo al 300,USD 140.000
Arenales  1700,USD 550.000
Vicente Lopez 91,USD 199.000
"JORGE NEWBERY 1000, Piso PB",USD 350.000
Av. Santa Fe al 1400,USD 120.000
"Liniers 300, Piso 3",USD 188.000
Rivadavia 200,USD 245.000
Santa Fe 2600,USD 120.000
LADISLAO MARTINEZ 100,USD 280.000
Av Fondo de la Legua al 2400,USD 105.000
Fray Luis Beltran 1000,USD 350.000
Bdier Gral J Zapiola 1700,USD 950.000
Mendoza al 3700,USD 1.300.000
"FREIRE, RAMON 1800",USD 940.000
SUPERI 1800,USD 956.000
Intendente Becco al 2500,USD 265.000
Plaza 2200,USD 850.000
"Av Santa Fe 800, Piso 3",USD 98.000
Gervasio Posadas  900,USD 83.000
"Martin Y Omar 100, Piso 8",USD 230.000
"Albarellos 1000, Piso 4",USD 120.000
"Av Del Libertador 14500, Piso 3",USD 780.000
Laprida 97,USD 158.000
Gral Eduardo Lonardi 400,USD 140.000
Don Bosco al 400,USD 160.000
"Alsina 100, Piso 2",USD 215.000
Padre Acevedo 900,USD 64.000
Vicente López Nº293  PISO 1º DEP 7,USD 110.000
"Av Centenario 2000, Piso 7",USD 90.000
SAN ISIDRO LOFT Castelli al 1035,USD 350.000
Avellaneda al 384 3 B,USD 150.000
Libertador al 13400,USD 760.000
Arboris La Horqueta,USD 497.000
Juan José Díaz al 800 - Cassa Isidro,USD 340.000
Prana San Isidro · Liniers 1700 · PB UF 029 I,USD 280.800
"Haedo 400, Piso 3",USD 145.000
"Av. Santa Fe 1000, Piso 3",USD 98.000
Juncal al 2300,USD 130.000
Arenales 1800,USD 690.000
"General Paz  1800, Piso 1",USD 235.000
Diego Palma 58,USD 120.000
Av Centenario al 1600,USD 112.000
Alsina 400,USD 109.900
"P De Mendoza 2500, Piso 2",USD 135.000
"Inte Neyer 100, Piso 1",USD 135.000
Neyer 58 3 C,USD 133.000
"Alem al 400, entre Acassuso y 25 de Mayo",USD 90.000
Av. Santa Fe al 1700,USD 130.000
"Leandro N. Alem 100, Piso 12",USD 300.000
Av. del Libertador al 15300,USD 139.000
"Juan Jose Paso 200, Piso 4",USD 140.000
Tres Sargentos  al 2000,USD 155.000
"Leandro N Alem 200, Piso 1",USD 239.000
Francia al 300,USD 240.000
F Llavallol 5300,USD 360.000
Bacon 5300,USD 220.000
FERNANDEZ DE ENCISO 3600,USD 790.000
Cochrane al 3200,USD 260.000
Cockrane 2300,USD 290.000
Cochrane  3100 3100,USD 275.000
G De Helguera 5300,USD 390.000
"Av Centenario 2500, Piso 1",USD 107.000
Sarmiento 70,USD 88.000
"Alem 100, Piso 3",USD 120.000
Departamento en venta de 2 ambientes. Av. Tomkinson al 400 - San Isidro,USD 105.000
"Primera Junta  200, Piso 1",USD 107.000
Pareja 3200,USD 475.000
Av Nazca 5700,USD 145.000
Claudio M Cuenca 5700,USD 250.000
Obispo San Alberto 2900,USD 340.000
M Zamudio 5400,USD 190.000
COCHRANE  2900,USD 320.000
JOAQUIN CASTELLANOS 4700,USD 290.000
GRIVEO 2500,USD 275.000
ESCOBAR  3000,USD 1.300.000
CONDARCO 4500,Consultar precio
Pje El Gaucho 5800,USD 169.000
A De Escobar 2800,USD 330.000
Gral Jose G Artigas 5600,USD 290.000
Zamudio 5500,USD 490.000
Av Nazca 5000,USD 195.000
Jose A Bazurco 2800,USD 420.000
A De Escobar 2700,USD 320.000
Juan M Larsen 2700,USD 248.300
"Av De Los Constituyentes 5600, Piso PL.BAJA",USD 400.000
Juan Pablo Duarte e/ Griveo y Ladines,USD 249.000
Emilio Lamarca al 5100,USD 240.000
Nazca 5800,USD 380.000
Carlos A Lopez 2800,USD 850.000
Campana al 5000,USD 290.000
Bazurco 2200,USD 225.000
Cochrane 3000,USD 119.000
Gral Alvarez Condarco 5300,USD 175.000
Nueva York al 2800,USD 520.000
Campana 4900,USD 450.000
Gabriela Mistral 3100,USD 289.000
P Franco 2600,USD 230.000
Pje Curupayti 3100,USD 225.000
"SOLANO LOPEZ, MARISCAL 2500",USD 400.000
Dr C Argerich 5600,USD 250.000
Gral Alvarez Condarco 5400,Consultar precio
Franco 2500,USD 119.000
Pasaje Agustin Alvarez  5100,USD 235.000
LARSEN 2700,USD 655.000
ZAMUDIO 3600,USD 580.000
CAMPANA 4800,USD 220.000
Gral Jose G Artigas 3600,USD 198.000
Asuncion  2900,USD 295.000
CUENCA 4200,USD 200.000
PAREJA 2200,USD 230.000
Jose Cubas al 2600,USD 268.000
Jose Cubas al 2500,USD 290.000
Caracas al 4500,USD 300.000
Caracas al 4400,USD 299.000
Nueva York  2900,USD 260.000
Salvador Maria del Carril 2201,USD 390.000
GRIVEO 3400,USD 199.000
"terrada  3800, Piso pb",USD 250.000
Tripoli al 4100,USD 230.000
Llavallol  al 5479,USD 270.000
"Av. de los Constituyentes 5041, C1431EZB CABA,  5000",USD 154.900
NUEVA YORK al 2900,USD 250.000
