Rank,title,AuthorName,Language,Price_normal,Id
2298,Zornig,Lisbeth Zornig Andersen,Dansk,79.95,9788702167368
2299,Udgående fartøj,Ursula Andkjær Olsen,Dansk,49.95,9788702178319
2300,Håndens skælven i november,Henrik Nordbrandt,Dansk,49.95,9788702180923
2301,Den sorte gryde,William Heinesen,Dansk,49.95,9788702187472
2302,Krigere uden våben,Morten Nielsen,Dansk,49.95,9788702233568
2303,Løgneren,Nora Roberts,Dansk,79.95,9788702235807
2304,Tsukemono,Ole G. Mouritsen,Dansk,49.95,9788702242164
2305,Vidnet,Nora Roberts,Dansk,79.95,9788702251531
2306,"Hov, et egern!",Anders Colding-Jørgensen,Dansk,79.95,9788702270969
2307,Afstanden mellem dig og mig,Caroline Ørsum,Dansk,79.95,9788702303995
2308,Tænk,Svend Brinkmann,Dansk,129.95,9788702378382
2309,Lykkelig i Gårdhaven,Ella Andrup,Dansk,129.95,9788702388749
2310,Krig,Louis-Ferdinand Céline,Dansk,129.95,9788702390247
2311,Humanistisk videnskabsteori. 3. udgave,Finn Collin,Dansk,299.95,9788711323427
2312,Auggie Wrens julefortælling,Paul Auster,Dansk,39.95,9788711337493
2313,New York Trilogien,Paul Auster,Dansk,129.95,9788711343272
2314,Venter i mørket,Helene Tursten,Dansk,79.95,9788711404768
2315,Det lunefulde net,Helene Tursten,Dansk,79.95,9788711415146
2316,tab 5 kilo på 5 uger,Vægtkonsulenterne ,Dansk,99.95,9788711483145
2317,De forsvundne missiler,Nick Carter,Dansk,99.95,9788711576878
2318,Oplyst,Tara Westover,Dansk,99.95,9788711913062
2319,Krigens arv,Wilbur Smith,Dansk,69.95,9788711992937
2320,Stencirklen,Elly Griffiths,Dansk,189.95,9788712071549
2321,Erindringens udveje. Studier i moderne dansk selvbiografi,Johnny Kondrup,Dansk,149.95,9788726527858
2322,Uro,Jesper Stein,Dansk,79.95,9788740006025
2323,Turen går til Østrig,Christine Proksch,Dansk,35,9788740038385
2324,Pigen uden hud,Mads Peder Nordbo,Dansk,79.95,9788740038736
2325,Eksodus,Lisbeth Zornig,Dansk,139.95,9788740048315
